iter	Passed	Remaining
656	18450	9632
657	18476	9603
658	18504	9575
659	18531	9546
660	18558	9517
661	18587	9490
662	18614	9461
663	18642	9433
664	18669	9404
665	18700	9378
666	18726	9349
667	18755	9321
668	18783	9293
669	18811	9265
670	18844	9239
671	18871	9211
672	18898	9182
673	18926	9154
674	18955	9126
675	18984	9099
676	19010	9070
677	19036	9040
678	19063	9012
679	19089	8983
680	19116	8954
681	19142	8925
682	19171	8898
683	19199	8870
684	19227	8841
685	19255	8813
686	19285	8786
687	19311	8757
688	19338	8729
689	19365	8700
690	19395	8673
691	19425	8645
692	19453	8618
693	19480	8589
694	19510	8562
695	19537	8533
696	19564	8504
697	19591	8476
698	19619	8448
699	19646	8420
700	19675	8392
701	19705	8364
702	19733	8336
703	19762	8309
704	19790	8281
705	19821	8254
706	19847	8225
707	19877	8198
708	19906	8170
709	19932	8141
710	19962	8114
711	19991	8086
712	20019	8058
713	20048	8030
714	20078	8003
715	20107	7975
716	20136	7947
717	20163	7919
718	20194	7892
719	20220	7863
720	20249	7835
721	20276	7807
722	20307	7780
723	20338	7753
724	20366	7725
725	20396	7697
726	20427	7670
727	20453	7642
728	20480	7613
729	20509	7585
730	20537	7557
731	20567	7530
732	20596	7502
733	20626	7474
734	20654	7446
735	20682	7418
736	20712	7391
737	20742	7363
738	20769	7335
739	20798	7307
740	20825	7279
741	20857	7252
742	20887	7224
743	20915	7196
744	20944	7168
745	20973	7140
746	21001	7113
747	21028	7084
748	21055	7056
749	21080	7026
750	21110	6999
751	21137	6970
752	21164	6942
753	21192	6914
754	21219	6885
755	21249	6858
756	21276	6829
757	21305	6802
758	21338	6775
759	21365	6746
760	21393	6718
761	21422	6690
762	21449	6662
763	21479	6635
764	21508	6607
765	21536	6579
766	21567	6551
767	21594	6523
768	21621	6494
769	21649	6466
770	21676	6438
771	21704	6410
772	21735	6382
773	21763	6354
774	21793	6327
775	21820	6298
776	21848	6270
777	21878	6242
778	21910	6215
779	21940	6188
780	21966	6159
781	21994	6131
782	22021	6103
783	22049	6074
784	22078	6046
785	22105	6018
786	22132	5990
787	22160	5962
788	22189	5934
789	22217	5905
790	22244	5877
791	22271	5849
792	22298	5820
793	22328	5792
794	22360	5765
795	22387	5737
796	22418	5710
797	22446	5682
798	22475	5654
799	22503	5625
800	22532	5598
801	22560	5569
802	22588	5541
803	22618	5513
804	22647	5486
805	22676	5458
806	22704	5430
807	22731	5401
808	22759	5373
809	22788	5345
810	22819	5318
811	22846	5289
812	22874	5261
813	22906	5234
814	22937	5206
815	22965	5178
816	22994	5150
817	23020	5121
818	23051	5094
819	23078	5065
820	23108	5038
821	23135	5009
822	23162	4981
823	23189	4953
824	23217	4924
825	23246	4897
826	23272	4868
827	23305	4841
828	23332	4812
829	23358	4784
830	23389	4756
831	23414	4728
832	23442	4699
833	23468	4671
834	23494	4642
835	23524	4614
836	23551	4586
837	23581	4558
838	23608	4530
839	23635	4502
840	23663	4473
841	23692	4445
842	23722	4418
843	23751	4390
844	23779	4361
845	23807	4333
846	23836	4305
847	23864	4277
848	23890	4249
849	23921	4221
850	23950	4193
851	23978	4165
852	24004	4136
853	24035	4109
854	24065	4081
855	24093	4053
856	24122	4025
857	24149	3996
858	24176	3968
859	24205	3940
860	24234	3912
861	24260	3883
862	24291	3856
863	24319	3828
864	24345	3799
865	24375	3771
866	24407	3744
867	24435	3715
868	24460	3687
869	24487	3659
870	24517	3631
871	24548	3603
872	24575	3575
873	24603	3546
874	24633	3519
875	24662	3491
876	24690	3462
877	24716	3434
878	24744	3406
879	24773	3378
880	24802	3350
881	24831	3322
882	24861	3294
883	24890	3266
884	24917	3237
885	24950	3210
886	24979	3182
887	25005	3153
888	25031	3125
889	25060	3097
890	25089	3069
891	25116	3040
892	25144	3012
893	25171	2984
894	25197	2956
895	25226	2928
896	25257	2900
897	25286	2872
898	25318	2844
899	25343	2815
